in out res
4.674299700071698 4.0553114398749335 1
8.863700421775306 8.090218503560585 0
1.3368381762748083 8.661170541374323 0
9.579114677897442 4.982133709208137 0
1.4649824721246762 9.337400665316519 0
5.085095646242919 8.333297665917083 1
7.877227698765195 0.10114318753839502 0
7.137872520269264 7.635851997819898 1
2.964548142858159 9.914270113988167 0
2.501546840809945 6.099395347149795 1
0.9970853081309294 0.09689396783477688 0
8.588922118743431 3.1224102907377227 0
1.0985919507879505 5.696529444555969 1
2.5526524047327626 3.977842059396133 1
8.648022979066777 1.8261817398755364 0
4.445773515150011 9.159774888791192 0
5.389422082881888 0.5301005195952757 0
7.261335408137464 8.337510617202007 0
3.276657176940596 6.590967416588116 1
9.649509645461436 0.5410459695644532 0
0.532804684472874 8.293153431173296 0
2.0127877395247973 7.463043201974273 1
0.23541278644789942 4.815754669807804 0
6.102464365918547 2.9062436907421563 1
6.690198287452212 5.7975984081685805 1
0.8840902649705518 3.0903318788332967 0
8.533786084143351 6.415920411782022 1
3.9425870609270275 9.991617520611173 0
2.3657505084840835 5.70986290206033 1
3.0284237427560456 1.297816451054039 0
5.516727283769436 4.194560081972252 1
4.8555615727532135 0.5974661789557745 0
3.57215729494071 4.439541903889317 1
7.85500191955999 4.871946704980196 1
3.8824776306222075 8.8528335446692 0
5.700452265473547 5.611074116315031 1
3.809684067337229 0.4772138958644456 0
9.898516751499589 2.5422779311994548 0
7.685832350275003 3.8193766353553094 1
7.724703373713735 3.2212782759821157 1
4.282774799493967 2.078643921070762 1
0.3793862386546021 8.432402367202085 0
3.5856061424227303 1.4091791204200677 1
2.7124637406508034 5.690693311043851 1
7.170210384911608 6.034758216463787 1
0.2802892238910015 4.861731442190093 0
6.247342718655123 2.692213776699919 1
2.2057501281690683 8.012023705123035 0
3.8740585033254282 4.99492179739234 1
5.541239472984376 5.795620059829707 1
5.982998079800145 7.45906322172363 1
4.783141214256146 3.2315187717971594 1
8.163400881470366 5.019028198985678 1
5.857638283366107 3.779409578603161 1
2.119370450539053 9.083465233953874 0
4.600418523791778 2.0083192288527685 1
2.712046393332228 8.144511879593022 1
1.0271961357951187 1.445040855805022 0
3.130331320435271 2.4187672936825666 1
2.152878876252662 2.2880235419855754 1
9.519346459278212 4.650113297817089 0
3.892154555016194 8.70791053936742 1
6.077920842617677 1.9675100494587627 1
0.8099478439034491 0.26257825194752726 0
6.348798481971372 6.503544959608907 1
8.005634135299612 8.09000711383528 0
3.565885579911021 4.306452745784082 1
8.648318325806079 1.6622850438349457 0
5.05095101569956 8.55186283085226 1
2.3734836764539713 5.7589320061101485 1
2.2626875371767152 3.5528108340978837 1
2.3274554091642297 8.539066261176076 0
4.847214053845219 9.977907719673835 0
5.085864081979534 3.2524969674887294 1
4.719583215579135 4.615236897168582 1
2.358912478050612 9.220458447380457 0
0.48417595392004076 4.306329245160734 0
4.7717454894848 5.060408938071415 1
2.568947988514234 7.520039074136089 1
7.369337389438789 0.26064275225590183 0
4.9868401546539936 5.7720933898233495 1
1.8650936981414512 4.295731071865568 1
1.5755783919985888 7.852349337028405 0
8.217247994956464 3.0920955825468255 1
1.9567373875329608 5.174334892304861 1
9.353016714830318 2.343092043996635 0
3.7934945301411838 7.04296673741915 1
5.796517447785165 7.519516795223415 1
9.56835413145199 3.4330521844406214 0
3.263751205142369 6.044861219132882 1
2.478449446156896 9.742365657407667 0
5.584610914534931 7.720806224647769 1
2.57022730873824 4.536023760864105 1
0.406447865544457 7.387121094497912 0
5.972738412743508 8.066801805973991 1
0.18540149269334671 5.156334292407689 0
6.94783784405308 8.033557070160066 1
3.453255019063204 6.824356493052431 1
4.817643720992971 2.089678740070895 1
4.105750062337652 5.763119004337516 1
6.167306363510723 4.327594510094752 1
4.5238734843620225 4.655786194718963 1
4.355623321259929 5.4582400022686395 1
0.7992923029239329 1.1295751391535713 0
3.118280512613698 6.4303617926934376 1
6.683233181213479 8.108594091644774 1
1.6063093684903484 7.9287403487956105 0
7.5847794174539285 8.084357782476195 0
6.557082697908923 5.2086869762009025 1
1.8382450182093524 5.928371757504229 1
9.004430177713676 0.8746323512345278 0
3.733253537565402 1.0691400641775206 0
4.662788203519783 7.324728814772263 1
6.7730207927355774 6.533226880463772 1
7.465039356303933 7.526525053684276 1
2.1528653175840473 5.218401046321621 1
5.45531484643557 1.9445952980586712 1
0.18770143256474636 7.593703491995769 0
8.101178484451012 2.3567628050001255 0
1.1379077054817333 9.069490457772272 0
9.899196710020595 0.9754073791633577 0
2.0854730763405804 2.5358769704195216 1
8.54666539365283 4.5469210795427895 1
1.7998687522648527 4.371900158727953 1
7.071376043114144 2.4481049450657943 1
2.0717290975896385 1.9826970544634848 0
7.073670957027744 8.040149017544795 1
0.8487626648538238 8.288266175473032 0
7.294027828596694 9.805463464968314 0
8.600322417998472 3.7568789814072368 1
3.2567574777071284 5.229855539486508 1
5.365581186763526 0.44035796914765113 0
2.004419936405255 0.9378977971917934 0
4.761492236943434 0.5789021470278599 0
9.071945325749756 3.1214910169066235 0
8.625281330674813 9.869902542470566 0
2.2756718229804695 4.378950829886756 1
3.734040074358378 6.214599986030591 1
0.18340083153439046 5.03815278595297 0
5.21946782904436 4.5559292409246455 1
8.790063844420281 5.978406919769197 1
8.981051515883799 9.925959964765472 0
6.321323473969507 8.070943280182444 1
4.413309539260966 7.978597530010358 1
7.931935128735292 0.041232099938757205 0
2.72326220550996 2.000490498121976 1
5.73301837150284 6.737684405343403 1
1.218749317990766 9.90594353500212 0
9.45690387307167 3.4767444217392085 0
0.026853806938467173 4.068963840918498 0
6.222517770215809 1.9097376409568323 1
6.197428778986116 7.61117506761082 1
1.470199827494485 7.072670136094066 0
1.532827120976732 3.9884427947038015 1
8.908804193315794 9.832556869376974 0
0.6857632345226605 9.690076181569973 0
3.537531595051606 1.3492575170694199 1
